CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	1	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito 	 Itens 	 TotalConflitos
instancesConflicts/BPPC_1_0_1.txt 	 48 	 49 	 0.933946 	 0 	 0.894000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.962232 	 0 	 0.998000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 47 	 0.940166 	 0 	 0.953000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 50 	 0.953185 	 0 	 0.851000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962773 	 0 	 0.972000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 49 	 0.954269 	 0 	 0.869000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 49 	 0.945193 	 0 	 0.897000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 50 	 0.952399 	 0 	 0.967000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 51 	 0.959554 	 0 	 0.825000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 47 	 0.952522 	 0 	 0.896000 	 0 	 0 	 120 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 49 	 0.936486 	 0 	 0.849000 	 0 	 0 	 120 	 109
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.962085 	 0 	 0.877000 	 0 	 0 	 120 	 161
instancesConflicts/BPPC_1_1_3.txt 	 46 	 47 	 0.931109 	 0 	 0.899000 	 0 	 0 	 120 	 160
instancesConflicts/BPPC_1_1_4.txt 	 49 	 50 	 0.948669 	 0 	 0.802000 	 0 	 0 	 120 	 101
instancesConflicts/BPPC_1_1_5.txt 	 50 	 51 	 0.939167 	 0 	 0.824000 	 0 	 0 	 120 	 57
instancesConflicts/BPPC_1_1_6.txt 	 48 	 49 	 0.942522 	 0 	 0.789000 	 0 	 0 	 120 	 86
instancesConflicts/BPPC_1_1_7.txt 	 48 	 49 	 0.944999 	 0 	 0.877000 	 0 	 0 	 120 	 132
instancesConflicts/BPPC_1_1_8.txt 	 49 	 50 	 0.947617 	 0 	 0.940000 	 0 	 0 	 120 	 202
instancesConflicts/BPPC_1_1_9.txt 	 50 	 51 	 0.956587 	 0 	 0.818000 	 0 	 0 	 120 	 179
instancesConflicts/BPPC_1_1_10.txt 	 46 	 47 	 0.950773 	 0 	 0.925000 	 0 	 0 	 120 	 228
instancesConflicts/BPPC_1_2_1.txt 	 48 	 49 	 0.930046 	 0 	 0.869000 	 0 	 0 	 120 	 463
instancesConflicts/BPPC_1_2_2.txt 	 49 	 50 	 0.930106 	 0 	 0.906000 	 0 	 0 	 120 	 694
instancesConflicts/BPPC_1_2_3.txt 	 46 	 48 	 0.904994 	 0 	 0.899000 	 0 	 0 	 120 	 770
instancesConflicts/BPPC_1_2_4.txt 	 49 	 51 	 0.910371 	 0 	 0.812000 	 0 	 0 	 120 	 516
instancesConflicts/BPPC_1_2_5.txt 	 50 	 51 	 0.927817 	 0 	 0.828000 	 0 	 0 	 120 	 289
instancesConflicts/BPPC_1_2_6.txt 	 48 	 49 	 0.940689 	 0 	 0.820000 	 0 	 0 	 120 	 471
instancesConflicts/BPPC_1_2_7.txt 	 48 	 50 	 0.911256 	 0 	 0.888000 	 0 	 0 	 120 	 656
instancesConflicts/BPPC_1_2_8.txt 	 49 	 51 	 0.915861 	 0 	 0.932000 	 0 	 0 	 120 	 898
instancesConflicts/BPPC_1_2_9.txt 	 50 	 52 	 0.923602 	 0 	 0.892000 	 0 	 0 	 120 	 658
instancesConflicts/BPPC_1_2_10.txt 	 46 	 48 	 0.918415 	 0 	 1.027000 	 0 	 0 	 120 	 743
instancesConflicts/BPPC_1_3_1.txt 	 48 	 50 	 0.893941 	 0 	 0.978000 	 0 	 0 	 120 	 1186
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.924332 	 0 	 0.907000 	 0 	 0 	 120 	 1525
instancesConflicts/BPPC_1_3_3.txt 	 46 	 48 	 0.895096 	 0 	 0.960000 	 0 	 0 	 120 	 1554
instancesConflicts/BPPC_1_3_4.txt 	 49 	 51 	 0.911936 	 0 	 0.838000 	 0 	 0 	 120 	 1133
instancesConflicts/BPPC_1_3_5.txt 	 50 	 52 	 0.900403 	 0 	 0.829000 	 0 	 0 	 120 	 867
instancesConflicts/BPPC_1_3_6.txt 	 48 	 50 	 0.903755 	 0 	 0.887000 	 0 	 0 	 120 	 1225
instancesConflicts/BPPC_1_3_7.txt 	 48 	 50 	 0.908996 	 0 	 0.889000 	 0 	 0 	 120 	 1438
instancesConflicts/BPPC_1_3_8.txt 	 49 	 51 	 0.915935 	 0 	 0.952000 	 0 	 0 	 120 	 1794
instancesConflicts/BPPC_1_3_9.txt 	 50 	 53 	 0.888944 	 0 	 0.817000 	 0 	 0 	 120 	 1501
instancesConflicts/BPPC_1_3_10.txt 	 46 	 49 	 0.885108 	 0 	 0.932000 	 0 	 0 	 120 	 1496
instancesConflicts/BPPC_1_4_1.txt 	 48 	 51 	 0.870217 	 0 	 0.881000 	 0 	 0 	 120 	 2259
instancesConflicts/BPPC_1_4_2.txt 	 49 	 54 	 0.805499 	 0 	 0.937000 	 0 	 0 	 120 	 2641
instancesConflicts/BPPC_1_4_3.txt 	 46 	 54 	 0.773526 	 0 	 0.960000 	 0 	 0 	 120 	 2561
instancesConflicts/BPPC_1_4_4.txt 	 49 	 51 	 0.909948 	 0 	 0.866000 	 0 	 0 	 120 	 1974
instancesConflicts/BPPC_1_4_5.txt 	 50 	 54 	 0.834082 	 0 	 0.901000 	 0 	 0 	 120 	 1821
instancesConflicts/BPPC_1_4_6.txt 	 48 	 52 	 0.853792 	 0 	 0.909000 	 0 	 0 	 120 	 2380
instancesConflicts/BPPC_1_4_7.txt 	 48 	 55 	 0.819522 	 0 	 0.928000 	 0 	 0 	 120 	 2439
instancesConflicts/BPPC_1_4_8.txt 	 49 	 59 	 0.795793 	 0 	 0.968000 	 0 	 0 	 120 	 2845
instancesConflicts/BPPC_1_4_9.txt 	 50 	 55 	 0.833587 	 0 	 0.866000 	 0 	 0 	 120 	 2655
instancesConflicts/BPPC_1_4_10.txt 	 46 	 54 	 0.791592 	 0 	 0.990000 	 0 	 0 	 120 	 2520
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.726839 	 0 	 1.038000 	 0 	 1 	 120 	 3563
instancesConflicts/BPPC_1_5_2.txt 	 49 	 68 	 0.766461 	 0 	 1.016000 	 0 	 0 	 120 	 3798
instancesConflicts/BPPC_1_5_3.txt 	 46 	 65 	 0.804795 	 0 	 1.013000 	 0 	 6 	 120 	 3930
instancesConflicts/BPPC_1_5_4.txt 	 49 	 59 	 0.833940 	 0 	 0.890000 	 0 	 1 	 120 	 3303
instancesConflicts/BPPC_1_5_5.txt 	 50 	 57 	 0.839738 	 0 	 0.968000 	 0 	 2 	 120 	 3144
instancesConflicts/BPPC_1_5_6.txt 	 48 	 65 	 0.761726 	 0 	 0.982000 	 0 	 2 	 120 	 3716
instancesConflicts/BPPC_1_5_7.txt 	 48 	 65 	 0.752441 	 0 	 0.952000 	 0 	 0 	 120 	 3622
instancesConflicts/BPPC_1_5_8.txt 	 49 	 72 	 0.785916 	 0 	 1.037000 	 0 	 6 	 120 	 4075
instancesConflicts/BPPC_1_5_9.txt 	 50 	 65 	 0.831033 	 0 	 0.918000 	 0 	 0 	 120 	 3979
instancesConflicts/BPPC_1_5_10.txt 	 46 	 65 	 0.757144 	 0 	 1.054000 	 0 	 4 	 120 	 3739
instancesConflicts/BPPC_1_6_1.txt 	 48 	 76 	 0.819949 	 0 	 1.050000 	 0 	 22 	 120 	 4864
instancesConflicts/BPPC_1_6_2.txt 	 49 	 80 	 0.861076 	 0 	 1.099000 	 0 	 30 	 120 	 5124
instancesConflicts/BPPC_1_6_3.txt 	 46 	 75 	 0.911223 	 0 	 1.119000 	 0 	 34 	 120 	 5202
instancesConflicts/BPPC_1_6_4.txt 	 49 	 72 	 0.879654 	 0 	 0.977000 	 0 	 20 	 120 	 4596
instancesConflicts/BPPC_1_6_5.txt 	 50 	 72 	 0.820188 	 0 	 0.995000 	 0 	 17 	 120 	 4542
instancesConflicts/BPPC_1_6_6.txt 	 48 	 78 	 0.823937 	 0 	 1.019000 	 0 	 20 	 120 	 4998
instancesConflicts/BPPC_1_6_7.txt 	 48 	 74 	 0.875356 	 0 	 1.050000 	 0 	 24 	 120 	 4952
instancesConflicts/BPPC_1_6_8.txt 	 49 	 81 	 0.894214 	 0 	 1.105000 	 0 	 36 	 120 	 5342
instancesConflicts/BPPC_1_6_9.txt 	 50 	 78 	 0.889071 	 0 	 0.997000 	 0 	 28 	 120 	 5246
instancesConflicts/BPPC_1_6_10.txt 	 46 	 74 	 0.883713 	 0 	 1.061000 	 0 	 29 	 120 	 4943
instancesConflicts/BPPC_1_7_1.txt 	 48 	 87 	 0.901910 	 0 	 1.109000 	 0 	 49 	 120 	 5954
instancesConflicts/BPPC_1_7_2.txt 	 49 	 91 	 0.901231 	 0 	 1.128000 	 0 	 49 	 120 	 5993
instancesConflicts/BPPC_1_7_3.txt 	 46 	 88 	 0.925257 	 0 	 1.148000 	 0 	 55 	 120 	 6029
instancesConflicts/BPPC_1_7_4.txt 	 49 	 83 	 0.918368 	 0 	 1.047000 	 0 	 49 	 120 	 5590
instancesConflicts/BPPC_1_7_5.txt 	 50 	 85 	 0.919596 	 0 	 1.055000 	 0 	 43 	 120 	 5788
instancesConflicts/BPPC_1_7_6.txt 	 48 	 90 	 0.896184 	 0 	 1.049000 	 0 	 50 	 120 	 6039
instancesConflicts/BPPC_1_7_7.txt 	 48 	 86 	 0.925650 	 0 	 1.100000 	 0 	 52 	 120 	 5888
instancesConflicts/BPPC_1_7_8.txt 	 49 	 89 	 0.937521 	 0 	 1.170000 	 0 	 59 	 120 	 6120
instancesConflicts/BPPC_1_7_9.txt 	 50 	 93 	 0.912134 	 0 	 1.043000 	 0 	 53 	 120 	 6161
instancesConflicts/BPPC_1_7_10.txt 	 46 	 85 	 0.926245 	 0 	 1.121000 	 0 	 54 	 120 	 5884
instancesConflicts/BPPC_1_8_1.txt 	 48 	 98 	 0.960707 	 0 	 1.116000 	 0 	 79 	 120 	 6639
instancesConflicts/BPPC_1_8_2.txt 	 49 	 99 	 0.956262 	 0 	 1.172000 	 0 	 79 	 120 	 6630
