CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 6 	 58438.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 6 	 57089.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 6 	 56441.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 6 	 59082.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 6 	 59886.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 6 	 56134.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 7 	 64625.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 6 	 55659.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 10 	 88172.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 7 	 63875.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.965131 	 6 	 60087.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 6 	 58284.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 6 	 59675.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 6 	 58766.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 6 	 61645.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 6 	 57320.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 7 	 65006.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.938623 	 7 	 68084.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 10 	 96359.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 7 	 68740.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.889520 	 6 	 62073.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 6 	 62268.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.967959 	 9 	 78962.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.966465 	 7 	 69972.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 6 	 64582.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 6 	 60060.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 9 	 80465.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 50 	 0.900366 	 8 	 73459.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.964000 	 6 	 66178.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.950843 	 6 	 60575.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.938922 	 10 	 94786.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.931580 	 7 	 71324.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 49 	 0.858330 	 10 	 92578.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.949521 	 13 	 116687.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 8 	 81570.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 49 	 0.940762 	 6 	 60378.000000
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.959766 	 13 	 111436.000000
instancesConflicts/BPPC_1_3_8.txt 	 49 	 54 	 0.836771 	 6 	 66952.000000
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.962620 	 10 	 98550.000000
