CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 11 	 73031.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 11 	 70719.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 11 	 71091.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 11 	 75110.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 11 	 78004.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 11 	 75179.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 12 	 82464.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 11 	 71971.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 15 	 99472.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 12 	 81507.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 11 	 79510.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 11 	 71485.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 11 	 76606.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 11 	 75024.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 11 	 76693.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 11 	 73475.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 12 	 83139.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 12 	 82070.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 15 	 109588.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991492 	 13 	 97618.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.967611 	 11 	 82544.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.962056 	 12 	 87763.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970817 	 16 	 97863.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 11 	 78644.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 11 	 83061.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 11 	 76540.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.982829 	 14 	 85671.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985474 	 23 	 129098.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994194 	 19 	 129651.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991581 	 19 	 121265.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967724 	 20 	 128570.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 49 	 0.962187 	 23 	 142565.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 49 	 0.869696 	 14 	 83230.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982688 	 20 	 122160.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962601 	 13 	 91338.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.979031 	 19 	 109186.000000
