CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 11 	 73076.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 11 	 68269.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 11 	 69600.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 11 	 72746.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 11 	 73663.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 11 	 70990.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 12 	 78074.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 11 	 69299.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 15 	 96615.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 12 	 80305.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 11 	 75598.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 11 	 68919.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 11 	 75927.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 11 	 73975.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 11 	 74900.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 11 	 70920.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 12 	 78830.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 12 	 77217.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 15 	 103216.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 12 	 83144.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.968774 	 12 	 81867.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 11 	 76642.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970311 	 13 	 77030.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 11 	 74702.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 11 	 79009.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 11 	 72659.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 14 	 84597.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985563 	 20 	 112476.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994167 	 19 	 126688.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991420 	 20 	 120366.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967217 	 16 	 102508.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.931580 	 12 	 78842.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 48 	 0.919177 	 23 	 135018.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982740 	 20 	 122319.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 13 	 89765.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.978987 	 23 	 130838.000000
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.959766 	 18 	 103180.000000
instancesConflicts/BPPC_1_3_8.txt 	 49 	 52 	 0.907844 	 26 	 157086.000000
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957363 	 15 	 101567.000000
instancesConflicts/BPPC_1_3_10.txt 	 46 	 47 	 0.951994 	 24 	 141993.000000
instancesConflicts/BPPC_1_4_1.txt 	 48 	 52 	 0.845170 	 11 	 84079.000000
instancesConflicts/BPPC_1_4_2.txt 	 49 	 56 	 0.856957 	 19 	 141736.000000
instancesConflicts/BPPC_1_4_3.txt 	 46 	 57 	 0.787227 	 12 	 99095.000000
instancesConflicts/BPPC_1_4_4.txt 	 49 	 52 	 0.899102 	 19 	 126280.000000
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.933375 	 17 	 116101.000000
instancesConflicts/BPPC_1_4_6.txt 	 48 	 55 	 0.854031 	 14 	 107790.000000
instancesConflicts/BPPC_1_4_7.txt 	 48 	 57 	 0.832041 	 15 	 112746.000000
