CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 26 	 157.222000 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 26 	 138.037994 	 50 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 26 	 145.147003 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 26 	 162.714996 	 51 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 26 	 162.613007 	 51 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 26 	 146.817001 	 49 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 27 	 157.119995 	 50 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 26 	 152.699997 	 51 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 30 	 185.889008 	 52 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 27 	 166.863007 	 48 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 26 	 159.929993 	 50 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 26 	 142.656006 	 50 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 26 	 157.347000 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 26 	 159.695007 	 51 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 26 	 154.593002 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 26 	 148.250000 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 27 	 161.496994 	 50 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 27 	 161.317993 	 51 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 30 	 195.438004 	 52 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991443 	 27 	 170.834000 	 48 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.968774 	 27 	 167.076996 	 50 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.970526 	 26 	 156.414993 	 50 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970311 	 28 	 151.072998 	 47 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 26 	 158.464996 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 26 	 161.953003 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 26 	 154.837997 	 49 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983334 	 29 	 159.932999 	 50 	 0
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985563 	 35 	 186.235992 	 51 	 0
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994167 	 34 	 212.675003 	 52 	 0
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991420 	 35 	 199.304993 	 48 	 0
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967217 	 31 	 192.378006 	 50 	 0
instancesConflicts/BPPC_1_3_2.txt 	 49 	 49 	 0.963217 	 39 	 235.677002 	 51 	 0
instancesConflicts/BPPC_1_3_3.txt 	 46 	 48 	 0.919177 	 38 	 219.632996 	 50 	 0
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982740 	 35 	 199.815994 	 51 	 0
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962324 	 28 	 177.358994 	 51 	 0
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.978987 	 38 	 207.746994 	 50 	 0
instancesConflicts/BPPC_1_3_7.txt 	 48 	 48 	 0.983058 	 48 	 260.691986 	 51 	 0
instancesConflicts/BPPC_1_3_8.txt 	 49 	 51 	 0.937249 	 58 	 336.807007 	 56 	 0
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957363 	 30 	 193.783005 	 53 	 0
instancesConflicts/BPPC_1_3_10.txt 	 46 	 47 	 0.951994 	 39 	 230.162003 	 49 	 0
instancesConflicts/BPPC_1_4_1.txt 	 48 	 50 	 0.924404 	 73 	 465.019989 	 52 	 0
instancesConflicts/BPPC_1_4_2.txt 	 49 	 56 	 0.870907 	 54 	 366.993988 	 58 	 0
instancesConflicts/BPPC_1_4_3.txt 	 46 	 55 	 0.857039 	 67 	 452.727997 	 58 	 0
instancesConflicts/BPPC_1_4_4.txt 	 49 	 52 	 0.899102 	 34 	 222.580002 	 53 	 0
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.933375 	 32 	 211.835007 	 53 	 0
instancesConflicts/BPPC_1_4_6.txt 	 48 	 54 	 0.850992 	 38 	 258.358002 	 56 	 0
instancesConflicts/BPPC_1_4_7.txt 	 48 	 57 	 0.832041 	 30 	 210.457993 	 58 	 0
instancesConflicts/BPPC_1_4_8.txt 	 49 	 63 	 0.809235 	 35 	 257.960999 	 64 	 0
instancesConflicts/BPPC_1_4_9.txt 	 50 	 58 	 0.815370 	 26 	 189.322998 	 58 	 0
instancesConflicts/BPPC_1_4_10.txt 	 46 	 56 	 0.844538 	 45 	 296.382996 	 59 	 0
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.779338 	 26 	 234.203003 	 65 	 1
instancesConflicts/BPPC_1_5_2.txt 	 49 	 68 	 0.826886 	 27 	 249.959000 	 69 	 0
instancesConflicts/BPPC_1_5_3.txt 	 46 	 68 	 0.788989 	 26 	 255.373001 	 68 	 6
instancesConflicts/BPPC_1_5_4.txt 	 49 	 61 	 0.897578 	 40 	 305.537994 	 63 	 1
instancesConflicts/BPPC_1_5_5.txt 	 50 	 60 	 0.891216 	 27 	 220.097000 	 61 	 2
instancesConflicts/BPPC_1_5_6.txt 	 48 	 66 	 0.839752 	 33 	 286.536011 	 67 	 2
instancesConflicts/BPPC_1_5_7.txt 	 48 	 66 	 0.830470 	 30 	 263.088989 	 67 	 0
instancesConflicts/BPPC_1_5_8.txt 	 49 	 72 	 0.835283 	 31 	 302.993988 	 73 	 6
instancesConflicts/BPPC_1_5_9.txt 	 50 	 67 	 0.879955 	 35 	 300.149994 	 69 	 0
instancesConflicts/BPPC_1_5_10.txt 	 46 	 67 	 0.804991 	 26 	 245.602997 	 68 	 4
instancesConflicts/BPPC_1_6_1.txt 	 48 	 77 	 0.844391 	 26 	 302.351990 	 77 	 22
instancesConflicts/BPPC_1_6_2.txt 	 49 	 81 	 0.880792 	 26 	 304.657990 	 81 	 30
instancesConflicts/BPPC_1_6_3.txt 	 46 	 77 	 0.942935 	 28 	 322.920013 	 78 	 34
instancesConflicts/BPPC_1_6_4.txt 	 49 	 73 	 0.908500 	 26 	 279.160004 	 73 	 20
instancesConflicts/BPPC_1_6_5.txt 	 50 	 74 	 0.852642 	 26 	 274.907990 	 74 	 17
instancesConflicts/BPPC_1_6_6.txt 	 48 	 79 	 0.860037 	 27 	 310.122986 	 80 	 20
instancesConflicts/BPPC_1_6_7.txt 	 48 	 75 	 0.920567 	 30 	 328.584015 	 76 	 24
instancesConflicts/BPPC_1_6_8.txt 	 49 	 82 	 0.906449 	 26 	 309.588989 	 82 	 36
instancesConflicts/BPPC_1_6_9.txt 	 50 	 80 	 0.918837 	 33 	 366.687988 	 81 	 28
instancesConflicts/BPPC_1_6_10.txt 	 46 	 76 	 0.878737 	 26 	 297.035004 	 76 	 29
instancesConflicts/BPPC_1_7_1.txt 	 48 	 88 	 0.930629 	 31 	 415.002014 	 89 	 49
instancesConflicts/BPPC_1_7_2.txt 	 49 	 91 	 0.927354 	 28 	 378.773987 	 92 	 49
instancesConflicts/BPPC_1_7_3.txt 	 46 	 88 	 0.940220 	 26 	 355.903015 	 88 	 55
instancesConflicts/BPPC_1_7_4.txt 	 49 	 84 	 0.925904 	 26 	 331.863007 	 84 	 49
instancesConflicts/BPPC_1_7_5.txt 	 50 	 87 	 0.914008 	 26 	 336.576996 	 87 	 43
instancesConflicts/BPPC_1_7_6.txt 	 48 	 91 	 0.902413 	 26 	 366.226990 	 91 	 50
instancesConflicts/BPPC_1_7_7.txt 	 48 	 87 	 0.935855 	 26 	 343.212006 	 87 	 52
instancesConflicts/BPPC_1_7_8.txt 	 49 	 89 	 0.958783 	 30 	 396.994995 	 90 	 59
instancesConflicts/BPPC_1_7_9.txt 	 50 	 93 	 0.933389 	 26 	 359.183014 	 93 	 53
instancesConflicts/BPPC_1_7_10.txt 	 46 	 86 	 0.943319 	 27 	 357.985992 	 87 	 54
instancesConflicts/BPPC_1_8_1.txt 	 48 	 98 	 0.972023 	 33 	 490.445007 	 99 	 79
instancesConflicts/BPPC_1_8_2.txt 	 49 	 99 	 0.967374 	 26 	 397.545013 	 99 	 79
instancesConflicts/BPPC_1_8_3.txt 	 46 	 99 	 0.971054 	 29 	 448.467987 	 100 	 75
instancesConflicts/BPPC_1_8_4.txt 	 49 	 95 	 0.954397 	 26 	 383.714996 	 95 	 62
instancesConflicts/BPPC_1_8_5.txt 	 50 	 100 	 0.952484 	 26 	 396.092010 	 100 	 71
