CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967109 	 26 	 211340.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.966450 	 26 	 203895.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970383 	 26 	 210957.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982702 	 26 	 224601.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962658 	 26 	 256836.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979348 	 26 	 210455.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.982942 	 27 	 220844.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985557 	 26 	 226450.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994167 	 30 	 250745.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991395 	 29 	 247415.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.966919 	 26 	 227597.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.966281 	 26 	 192462.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970622 	 26 	 203795.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982657 	 26 	 219451.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.962855 	 26 	 208462.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.978956 	 26 	 196664.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982973 	 28 	 213312.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985487 	 27 	 202117.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994181 	 33 	 259167.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991438 	 28 	 218733.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.966933 	 27 	 217648.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.961793 	 26 	 204590.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970222 	 28 	 224553.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982854 	 28 	 220609.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.965909 	 26 	 210085.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.979189 	 28 	 200136.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983108 	 30 	 212362.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985356 	 32 	 230597.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 50 	 0.994181 	 37 	 277690.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 46 	 0.991386 	 33 	 244935.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967161 	 34 	 250786.000000
instancesConflicts/BPPC_1_3_2.txt 	 49 	 49 	 0.961612 	 31 	 234597.000000
instancesConflicts/BPPC_1_3_3.txt 	 46 	 47 	 0.930865 	 26 	 187622.000000
instancesConflicts/BPPC_1_3_4.txt 	 49 	 49 	 0.982938 	 34 	 246969.000000
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962645 	 28 	 225235.000000
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.979324 	 40 	 255555.000000
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.944440 	 27 	 199439.000000
instancesConflicts/BPPC_1_3_8.txt 	 49 	 50 	 0.947357 	 30 	 231686.000000
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.958437 	 31 	 235553.000000
instancesConflicts/BPPC_1_3_10.txt 	 46 	 47 	 0.953084 	 38 	 268016.000000
instancesConflicts/BPPC_1_4_1.txt 	 48 	 50 	 0.892821 	 26 	 212662.000000
instancesConflicts/BPPC_1_4_2.txt 	 49 	 53 	 0.851276 	 38 	 292881.000000
instancesConflicts/BPPC_1_4_3.txt 	 46 	 54 	 0.762630 	 26 	 212332.000000
instancesConflicts/BPPC_1_4_4.txt 	 49 	 50 	 0.945039 	 31 	 242151.000000
instancesConflicts/BPPC_1_4_5.txt 	 50 	 50 	 0.962133 	 46 	 331097.000000
instancesConflicts/BPPC_1_4_6.txt 	 48 	 52 	 0.858472 	 26 	 206576.000000
instancesConflicts/BPPC_1_4_7.txt 	 48 	 55 	 0.790826 	 26 	 207968.000000
instancesConflicts/BPPC_1_4_8.txt 	 49 	 59 	 0.736275 	 26 	 217866.000000
instancesConflicts/BPPC_1_4_9.txt 	 50 	 54 	 0.857373 	 26 	 224518.000000
instancesConflicts/BPPC_1_4_10.txt 	 46 	 54 	 0.778245 	 26 	 227882.000000
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.623478 	 26 	 236965.000000
instancesConflicts/BPPC_1_5_2.txt 	 49 	 68 	 0.587870 	 26 	 243104.000000
instancesConflicts/BPPC_1_5_3.txt 	 46 	 65 	 0.561966 	 26 	 222039.000000
instancesConflicts/BPPC_1_5_4.txt 	 49 	 59 	 0.726512 	 26 	 240525.000000
