CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 6 	 45.798000 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 6 	 43.618999 	 50 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 6 	 45.178001 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 6 	 45.575001 	 51 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 6 	 47.360001 	 51 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 6 	 46.543999 	 49 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 7 	 54.356998 	 50 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 6 	 45.300999 	 51 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 10 	 74.394997 	 52 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 7 	 53.408001 	 48 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967426 	 6 	 48.240002 	 50 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.965106 	 6 	 45.097000 	 50 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.971720 	 6 	 48.254002 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982782 	 6 	 47.306999 	 51 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.964171 	 6 	 49.674999 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979006 	 6 	 44.851002 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982819 	 7 	 51.653999 	 50 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985476 	 7 	 51.257000 	 51 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994217 	 10 	 76.615997 	 52 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991492 	 8 	 61.833000 	 48 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.967611 	 6 	 48.098000 	 50 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.962056 	 7 	 54.292999 	 50 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970817 	 11 	 68.508003 	 47 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.983014 	 6 	 47.526001 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964443 	 6 	 52.301998 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978909 	 6 	 46.602001 	 49 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.982829 	 9 	 63.078999 	 50 	 0
instancesConflicts/BPPC_1_2_8.txt 	 49 	 50 	 0.948467 	 7 	 48.953999 	 51 	 0
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.963864 	 6 	 52.209999 	 52 	 0
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.950481 	 6 	 46.750000 	 48 	 0
instancesConflicts/BPPC_1_3_1.txt 	 48 	 49 	 0.933364 	 7 	 52.761002 	 50 	 0
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.931553 	 9 	 60.367001 	 51 	 0
instancesConflicts/BPPC_1_3_3.txt 	 46 	 49 	 0.869696 	 9 	 58.280998 	 50 	 0
instancesConflicts/BPPC_1_3_4.txt 	 49 	 50 	 0.949016 	 7 	 52.890999 	 51 	 0
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962601 	 8 	 62.403999 	 51 	 0
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.979031 	 14 	 86.411003 	 50 	 0
instancesConflicts/BPPC_1_3_7.txt 	 48 	 50 	 0.914911 	 7 	 45.036999 	 51 	 0
instancesConflicts/BPPC_1_3_8.txt 	 49 	 53 	 0.872839 	 20 	 118.282997 	 56 	 0
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957025 	 12 	 79.920998 	 53 	 0
instancesConflicts/BPPC_1_3_10.txt 	 46 	 49 	 0.879824 	 6 	 41.053001 	 49 	 0
instancesConflicts/BPPC_1_4_1.txt 	 48 	 52 	 0.836696 	 6 	 47.472000 	 52 	 0
instancesConflicts/BPPC_1_4_2.txt 	 49 	 57 	 0.780133 	 8 	 67.730003 	 58 	 0
instancesConflicts/BPPC_1_4_3.txt 	 46 	 57 	 0.723841 	 7 	 59.122002 	 58 	 0
instancesConflicts/BPPC_1_4_4.txt 	 49 	 52 	 0.897915 	 7 	 53.074001 	 53 	 0
instancesConflicts/BPPC_1_4_5.txt 	 50 	 52 	 0.903627 	 6 	 46.473999 	 53 	 0
instancesConflicts/BPPC_1_4_6.txt 	 48 	 55 	 0.801776 	 12 	 83.648003 	 56 	 0
instancesConflicts/BPPC_1_4_7.txt 	 48 	 56 	 0.802507 	 18 	 116.642998 	 58 	 0
instancesConflicts/BPPC_1_4_8.txt 	 49 	 62 	 0.709744 	 13 	 89.991997 	 64 	 0
instancesConflicts/BPPC_1_4_9.txt 	 50 	 58 	 0.779212 	 6 	 51.078999 	 58 	 0
instancesConflicts/BPPC_1_4_10.txt 	 46 	 56 	 0.756083 	 13 	 95.369003 	 59 	 0
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.625106 	 6 	 55.139000 	 65 	 1
instancesConflicts/BPPC_1_5_2.txt 	 49 	 69 	 0.573418 	 6 	 55.994999 	 69 	 0
instancesConflicts/BPPC_1_5_3.txt 	 46 	 67 	 0.569356 	 8 	 70.501999 	 68 	 6
instancesConflicts/BPPC_1_5_4.txt 	 49 	 61 	 0.708294 	 8 	 64.983002 	 63 	 1
instancesConflicts/BPPC_1_5_5.txt 	 50 	 61 	 0.711870 	 6 	 52.319000 	 61 	 2
