CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967093 	 6 	 101485.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.962123 	 6 	 99121.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970748 	 6 	 96413.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982637 	 6 	 94394.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962704 	 6 	 104421.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979050 	 6 	 96036.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.982995 	 7 	 108319.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985470 	 6 	 104715.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994176 	 10 	 131914.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991384 	 8 	 115337.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967128 	 6 	 98990.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.963219 	 6 	 98839.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970029 	 6 	 97739.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982611 	 6 	 93267.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.962980 	 6 	 98421.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.978793 	 6 	 94893.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982906 	 7 	 102343.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985465 	 7 	 101719.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994178 	 12 	 140299.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991414 	 7 	 103706.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.969746 	 7 	 105348.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.965536 	 6 	 99875.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.969957 	 7 	 102612.000000
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982584 	 8 	 110694.000000
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.963879 	 6 	 100465.000000
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978719 	 7 	 101452.000000
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983084 	 8 	 106864.000000
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985276 	 12 	 131080.000000
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.956432 	 6 	 97650.000000
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.951028 	 6 	 95891.000000
instancesConflicts/BPPC_1_3_1.txt 	 48 	 48 	 0.967587 	 11 	 126103.000000
