CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 6 	 45.375999 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 6 	 44.110001 	 50 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 6 	 44.018002 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 6 	 44.876999 	 51 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 6 	 46.549999 	 51 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 6 	 45.222000 	 49 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 7 	 53.185001 	 50 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 6 	 44.794998 	 51 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 10 	 74.424004 	 52 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 7 	 55.103001 	 48 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967480 	 6 	 50.917999 	 50 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.961639 	 6 	 48.125000 	 50 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970786 	 6 	 48.491001 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982996 	 6 	 47.587002 	 51 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.962215 	 6 	 48.421001 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979396 	 6 	 44.880001 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.983268 	 7 	 52.674999 	 50 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985583 	 7 	 51.312000 	 51 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994171 	 10 	 79.128998 	 52 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991496 	 7 	 56.602001 	 48 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.966819 	 7 	 56.709999 	 49 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.961775 	 7 	 54.962002 	 51 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970427 	 8 	 53.377998 	 48 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982764 	 7 	 56.748001 	 51 	 0
