CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967706 	 6 	 48.480999 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.964068 	 6 	 45.921001 	 50 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970632 	 6 	 45.431000 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982662 	 6 	 46.555000 	 51 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962190 	 6 	 48.476002 	 51 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979031 	 6 	 46.766998 	 49 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983195 	 7 	 54.282001 	 50 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985458 	 6 	 44.909000 	 51 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994174 	 10 	 74.929001 	 52 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991414 	 7 	 55.294998 	 48 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967480 	 6 	 51.471001 	 50 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.961639 	 6 	 48.832001 	 50 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970786 	 6 	 48.480000 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982996 	 6 	 49.512001 	 51 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.962215 	 6 	 50.694000 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979396 	 6 	 45.924999 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.983268 	 7 	 53.362999 	 50 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985583 	 7 	 52.700001 	 51 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994171 	 10 	 76.221001 	 52 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991409 	 8 	 63.367001 	 48 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.967685 	 6 	 50.716999 	 49 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.961753 	 7 	 55.730000 	 51 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970580 	 10 	 67.403000 	 48 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982883 	 8 	 65.221001 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.965012 	 6 	 51.695000 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.979309 	 7 	 56.873001 	 50 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.982992 	 9 	 64.183998 	 50 	 0
instancesConflicts/BPPC_1_2_8.txt 	 49 	 49 	 0.985345 	 12 	 78.753998 	 51 	 0
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.956340 	 6 	 51.917999 	 52 	 0
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.951686 	 7 	 55.070000 	 48 	 0
instancesConflicts/BPPC_1_3_1.txt 	 48 	 49 	 0.929168 	 6 	 50.013000 	 50 	 0
instancesConflicts/BPPC_1_3_2.txt 	 49 	 49 	 0.962190 	 10 	 74.683998 	 51 	 0
instancesConflicts/BPPC_1_3_3.txt 	 46 	 49 	 0.863815 	 6 	 48.855000 	 49 	 0
instancesConflicts/BPPC_1_3_4.txt 	 49 	 50 	 0.944783 	 6 	 49.917000 	 51 	 0
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.962105 	 7 	 58.514999 	 51 	 0
instancesConflicts/BPPC_1_3_6.txt 	 48 	 49 	 0.941333 	 7 	 50.889000 	 50 	 0
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.944776 	 10 	 66.595001 	 51 	 0
instancesConflicts/BPPC_1_3_8.txt 	 49 	 52 	 0.892713 	 12 	 84.820999 	 54 	 0
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.956624 	 9 	 65.391998 	 53 	 0
instancesConflicts/BPPC_1_3_10.txt 	 46 	 48 	 0.931240 	 10 	 68.304001 	 49 	 0
instancesConflicts/BPPC_1_4_1.txt 	 48 	 51 	 0.894769 	 10 	 80.667999 	 52 	 0
instancesConflicts/BPPC_1_4_2.txt 	 49 	 55 	 0.813488 	 6 	 58.791000 	 55 	 0
instancesConflicts/BPPC_1_4_3.txt 	 46 	 56 	 0.777784 	 6 	 63.571999 	 56 	 0
instancesConflicts/BPPC_1_4_4.txt 	 49 	 52 	 0.879478 	 6 	 53.056999 	 52 	 0
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.940223 	 10 	 77.417999 	 52 	 0
instancesConflicts/BPPC_1_4_6.txt 	 48 	 53 	 0.858565 	 6 	 56.294998 	 53 	 0
instancesConflicts/BPPC_1_4_7.txt 	 48 	 57 	 0.816790 	 6 	 57.049999 	 57 	 0
instancesConflicts/BPPC_1_4_8.txt 	 49 	 61 	 0.802042 	 9 	 82.095001 	 62 	 0
instancesConflicts/BPPC_1_4_9.txt 	 50 	 56 	 0.840412 	 6 	 60.844002 	 56 	 0
instancesConflicts/BPPC_1_4_10.txt 	 46 	 55 	 0.805136 	 9 	 81.582001 	 56 	 0
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.786957 	 6 	 68.010002 	 65 	 1
