CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967085 	 6 	 93.154999 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.965971 	 6 	 94.026001 	 49 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970323 	 6 	 92.762001 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982671 	 6 	 89.065002 	 50 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.962923 	 6 	 95.119003 	 50 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979030 	 6 	 85.003998 	 48 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.982995 	 7 	 100.473000 	 49 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985389 	 6 	 100.210999 	 50 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994183 	 11 	 135.020004 	 51 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991397 	 8 	 113.216003 	 47 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.967133 	 6 	 94.566002 	 49 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.962785 	 6 	 93.075996 	 49 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970151 	 6 	 95.470001 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982633 	 6 	 93.189003 	 50 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.963200 	 6 	 99.071999 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979202 	 6 	 92.589996 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.982940 	 7 	 99.086998 	 49 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985519 	 7 	 95.661003 	 50 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994174 	 10 	 121.528999 	 51 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991641 	 9 	 112.456001 	 47 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.967169 	 7 	 100.143997 	 49 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.961927 	 7 	 100.762001 	 50 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970037 	 7 	 95.307999 	 47 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982648 	 8 	 103.496002 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.963806 	 6 	 95.098999 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.979156 	 8 	 98.843002 	 49 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.982931 	 9 	 104.026001 	 50 	 0
instancesConflicts/BPPC_1_2_8.txt 	 49 	 50 	 0.947142 	 6 	 90.226997 	 51 	 0
instancesConflicts/BPPC_1_2_9.txt 	 50 	 51 	 0.961124 	 6 	 92.896004 	 52 	 0
instancesConflicts/BPPC_1_2_10.txt 	 46 	 47 	 0.950610 	 6 	 91.703003 	 48 	 0
instancesConflicts/BPPC_1_3_1.txt 	 48 	 49 	 0.928936 	 6 	 87.481003 	 50 	 0
instancesConflicts/BPPC_1_3_2.txt 	 49 	 50 	 0.925551 	 6 	 88.414001 	 50 	 0
instancesConflicts/BPPC_1_3_3.txt 	 46 	 47 	 0.930599 	 6 	 82.406998 	 47 	 0
instancesConflicts/BPPC_1_3_4.txt 	 49 	 50 	 0.944913 	 6 	 86.235001 	 50 	 0
instancesConflicts/BPPC_1_3_5.txt 	 50 	 50 	 0.966258 	 7 	 95.612000 	 51 	 0
instancesConflicts/BPPC_1_3_6.txt 	 48 	 48 	 0.978831 	 12 	 111.393997 	 50 	 0
instancesConflicts/BPPC_1_3_7.txt 	 48 	 49 	 0.944313 	 6 	 87.818001 	 50 	 0
instancesConflicts/BPPC_1_3_8.txt 	 49 	 50 	 0.947149 	 8 	 101.373001 	 51 	 0
instancesConflicts/BPPC_1_3_9.txt 	 50 	 51 	 0.957675 	 10 	 110.063004 	 53 	 0
instancesConflicts/BPPC_1_3_10.txt 	 46 	 48 	 0.913809 	 6 	 87.975998 	 48 	 0
instancesConflicts/BPPC_1_4_1.txt 	 48 	 50 	 0.893801 	 6 	 90.323997 	 50 	 0
instancesConflicts/BPPC_1_4_2.txt 	 49 	 53 	 0.835414 	 6 	 95.803001 	 53 	 0
instancesConflicts/BPPC_1_4_3.txt 	 46 	 54 	 0.756887 	 6 	 93.843002 	 54 	 0
instancesConflicts/BPPC_1_4_4.txt 	 49 	 50 	 0.945069 	 9 	 104.041000 	 51 	 0
instancesConflicts/BPPC_1_4_5.txt 	 50 	 51 	 0.925598 	 6 	 90.009003 	 53 	 0
instancesConflicts/BPPC_1_4_6.txt 	 48 	 52 	 0.856706 	 6 	 90.334999 	 52 	 0
instancesConflicts/BPPC_1_4_7.txt 	 48 	 55 	 0.795994 	 6 	 91.407997 	 55 	 0
instancesConflicts/BPPC_1_4_8.txt 	 49 	 59 	 0.739821 	 6 	 94.523003 	 59 	 0
instancesConflicts/BPPC_1_4_9.txt 	 50 	 54 	 0.863768 	 6 	 93.178001 	 54 	 0
instancesConflicts/BPPC_1_4_10.txt 	 46 	 54 	 0.767317 	 6 	 93.858002 	 54 	 0
instancesConflicts/BPPC_1_5_1.txt 	 48 	 65 	 0.602091 	 6 	 95.413002 	 65 	 1
instancesConflicts/BPPC_1_5_2.txt 	 49 	 68 	 0.584131 	 6 	 95.780998 	 68 	 0
instancesConflicts/BPPC_1_5_3.txt 	 46 	 65 	 0.568507 	 6 	 98.869003 	 65 	 6
instancesConflicts/BPPC_1_5_4.txt 	 49 	 59 	 0.722202 	 6 	 97.500000 	 59 	 1
instancesConflicts/BPPC_1_5_5.txt 	 50 	 57 	 0.770809 	 6 	 98.200996 	 57 	 2
instancesConflicts/BPPC_1_5_6.txt 	 48 	 65 	 0.612201 	 6 	 95.358002 	 65 	 2
