CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.533032 	 6 	 96253.000000
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.537456 	 6 	 94289.000000
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.491902 	 6 	 90764.000000
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.540905 	 7 	 106469.000000
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.413689 	 6 	 98318.000000
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.473635 	 6 	 90865.000000
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.455615 	 6 	 93584.000000
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.485046 	 8 	 117102.000000
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.463529 	 11 	 161468.000000
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.482267 	 8 	 116544.000000
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.482270 	 6 	 93952.000000
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.505934 	 6 	 97644.000000
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.503046 	 6 	 91833.000000
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.439244 	 7 	 108665.000000
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.416822 	 6 	 100076.000000
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.437062 	 6 	 92037.000000
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.557857 	 6 	 91890.000000
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.452653 	 7 	 107976.000000
instancesConflicts/BPPC_1_1_9.txt 	 50 	 51 	 0.439547 	 6 	 99904.000000
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.578523 	 8 	 120037.000000
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.517573 	 6 	 95272.000000
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.485184 	 6 	 94731.000000
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.466719 	 8 	 108568.000000
