CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 FBPP 	 Gen 	 Time 	 BinsFirstGeneration 	 ItensCom100deConflito
instancesConflicts/BPPC_1_0_1.txt 	 48 	 48 	 0.967024 	 51 	 328.881989 	 49 	 0
instancesConflicts/BPPC_1_0_2.txt 	 49 	 49 	 0.966200 	 51 	 306.820007 	 49 	 0
instancesConflicts/BPPC_1_0_3.txt 	 46 	 46 	 0.970261 	 51 	 316.102997 	 47 	 0
instancesConflicts/BPPC_1_0_4.txt 	 49 	 49 	 0.982659 	 51 	 350.553009 	 50 	 0
instancesConflicts/BPPC_1_0_5.txt 	 50 	 50 	 0.964062 	 51 	 355.984985 	 50 	 0
instancesConflicts/BPPC_1_0_6.txt 	 48 	 48 	 0.979167 	 51 	 292.520996 	 48 	 0
instancesConflicts/BPPC_1_0_7.txt 	 48 	 48 	 0.983086 	 52 	 331.423004 	 49 	 0
instancesConflicts/BPPC_1_0_8.txt 	 49 	 49 	 0.985327 	 51 	 327.234985 	 50 	 0
instancesConflicts/BPPC_1_0_9.txt 	 50 	 50 	 0.994171 	 56 	 375.122009 	 51 	 0
instancesConflicts/BPPC_1_0_10.txt 	 46 	 46 	 0.991418 	 54 	 364.768005 	 47 	 0
instancesConflicts/BPPC_1_1_1.txt 	 48 	 48 	 0.966926 	 51 	 340.315002 	 49 	 0
instancesConflicts/BPPC_1_1_2.txt 	 49 	 49 	 0.963511 	 51 	 304.540985 	 49 	 0
instancesConflicts/BPPC_1_1_3.txt 	 46 	 46 	 0.970203 	 51 	 307.369995 	 47 	 0
instancesConflicts/BPPC_1_1_4.txt 	 49 	 49 	 0.982664 	 51 	 351.457001 	 50 	 0
instancesConflicts/BPPC_1_1_5.txt 	 50 	 50 	 0.963529 	 51 	 332.433014 	 51 	 0
instancesConflicts/BPPC_1_1_6.txt 	 48 	 48 	 0.979200 	 51 	 300.766998 	 49 	 0
instancesConflicts/BPPC_1_1_7.txt 	 48 	 48 	 0.983101 	 52 	 328.596008 	 49 	 0
instancesConflicts/BPPC_1_1_8.txt 	 49 	 49 	 0.985574 	 52 	 348.328003 	 50 	 0
instancesConflicts/BPPC_1_1_9.txt 	 50 	 50 	 0.994172 	 56 	 398.510010 	 51 	 0
instancesConflicts/BPPC_1_1_10.txt 	 46 	 46 	 0.991455 	 54 	 358.561005 	 47 	 0
instancesConflicts/BPPC_1_2_1.txt 	 48 	 48 	 0.967998 	 52 	 351.950989 	 49 	 0
instancesConflicts/BPPC_1_2_2.txt 	 49 	 49 	 0.961737 	 51 	 315.101990 	 50 	 0
instancesConflicts/BPPC_1_2_3.txt 	 46 	 46 	 0.970083 	 53 	 317.195007 	 47 	 0
instancesConflicts/BPPC_1_2_4.txt 	 49 	 49 	 0.982637 	 52 	 353.546997 	 51 	 0
instancesConflicts/BPPC_1_2_5.txt 	 50 	 50 	 0.964779 	 51 	 338.243011 	 51 	 0
instancesConflicts/BPPC_1_2_6.txt 	 48 	 48 	 0.978885 	 52 	 302.816986 	 49 	 0
instancesConflicts/BPPC_1_2_7.txt 	 48 	 48 	 0.983538 	 54 	 314.901001 	 50 	 0
