CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 Gen 	 Time
N1c1w1_a.txt 	 25 	 25 	 0 	 0.000000
N1c1w1_b.txt 	 31 	 31 	 0 	 0.000000
N1c1w1_c.txt 	 20 	 20 	 0 	 0.015000
N1c1w1_d.txt 	 28 	 28 	 0 	 0.000000
N1c1w1_e.txt 	 26 	 26 	 0 	 0.000000
N1c1w1_f.txt 	 27 	 27 	 0 	 0.000000
N1c1w1_g.txt 	 25 	 25 	 0 	 0.000000
N1c1w1_h.txt 	 31 	 31 	 0 	 0.000000
N1c1w1_i.txt 	 24 	 25 	 8 	 0.031000
N1c1w1_j.txt 	 26 	 26 	 0 	 0.000000
N1c1w1_k.txt 	 25 	 26 	 7 	 0.016000
N1c1w1_l.txt 	 33 	 33 	 0 	 0.000000
N1c1w1_m.txt 	 30 	 30 	 0 	 0.000000
N1c1w1_n.txt 	 25 	 25 	 0 	 0.000000
N1c1w1_o.txt 	 32 	 32 	 0 	 0.000000
N1c1w1_p.txt 	 26 	 26 	 0 	 0.000000
N1c1w1_q.txt 	 28 	 28 	 0 	 0.000000
N1c1w1_r.txt 	 24 	 25 	 7 	 0.016000
N1c1w1_s.txt 	 28 	 28 	 0 	 0.000000
N1c1w1_t.txt 	 28 	 28 	 0 	 0.000000
N1c1w2_a.txt 	 28 	 29 	 13 	 0.015000
N1c1w2_b.txt 	 30 	 30 	 0 	 0.000000
N1c1w2_c.txt 	 33 	 33 	 0 	 0.000000
N1c1w2_d.txt 	 31 	 31 	 0 	 0.000000
N1c1w2_e.txt 	 35 	 36 	 4 	 0.000000
N1c1w2_f.txt 	 30 	 30 	 0 	 0.000000
N1c1w2_g.txt 	 30 	 30 	 0 	 0.000000
N1c1w2_h.txt 	 33 	 33 	 0 	 0.000000
N1c1w2_i.txt 	 35 	 35 	 0 	 0.000000
N1c1w2_j.txt 	 33 	 34 	 3 	 0.000000
N1c1w2_k.txt 	 35 	 35 	 0 	 0.000000
N1c1w2_l.txt 	 31 	 31 	 0 	 0.000000
N1c1w2_m.txt 	 30 	 30 	 0 	 0.000000
N1c1w2_n.txt 	 33 	 33 	 0 	 0.000000
N1c1w2_o.txt 	 29 	 29 	 0 	 0.000000
N1c1w2_p.txt 	 33 	 33 	 0 	 0.016000
N1c1w2_q.txt 	 36 	 36 	 0 	 0.000000
N1c1w2_r.txt 	 34 	 34 	 0 	 0.000000
N1c1w2_s.txt 	 37 	 37 	 0 	 0.000000
N1c1w2_t.txt 	 38 	 38 	 0 	 0.000000
N1c1w4_a.txt 	 34 	 35 	 3 	 0.016000
N1c1w4_b.txt 	 40 	 40 	 0 	 0.000000
N1c1w4_c.txt 	 36 	 36 	 0 	 0.000000
N1c1w4_d.txt 	 38 	 38 	 0 	 0.000000
N1c1w4_e.txt 	 38 	 38 	 0 	 0.000000
N1c1w4_f.txt 	 32 	 32 	 0 	 0.000000
N1c1w4_g.txt 	 37 	 37 	 1 	 0.000000
N1c1w4_h.txt 	 40 	 40 	 0 	 0.000000
N1c1w4_i.txt 	 35 	 35 	 0 	 0.000000
N1c1w4_j.txt 	 37 	 37 	 0 	 0.000000
N1c1w4_k.txt 	 41 	 41 	 0 	 0.000000
N1c1w4_l.txt 	 35 	 35 	 0 	 0.000000
N1c1w4_m.txt 	 41 	 41 	 0 	 0.000000
N1c1w4_n.txt 	 39 	 39 	 0 	 0.000000
N1c1w4_o.txt 	 34 	 34 	 0 	 0.000000
N1c1w4_p.txt 	 38 	 38 	 0 	 0.000000
N1c1w4_q.txt 	 34 	 34 	 0 	 0.000000
N1c1w4_r.txt 	 38 	 38 	 0 	 0.000000
N1c1w4_s.txt 	 35 	 36 	 5 	 0.016000
N1c1w4_t.txt 	 42 	 42 	 0 	 0.000000
N1c2w1_a.txt 	 21 	 21 	 0 	 0.000000
N1c2w1_b.txt 	 26 	 26 	 0 	 0.000000
N1c2w1_c.txt 	 22 	 23 	 46 	 0.093000
N1c2w1_d.txt 	 21 	 21 	 0 	 0.000000
N1c2w1_e.txt 	 17 	 17 	 0 	 0.000000
N1c2w1_f.txt 	 22 	 22 	 0 	 0.000000
N1c2w1_g.txt 	 20 	 21 	 26 	 0.047000
